Gene,description
K16163,maleylpyruvate isomerase [EC:5.2.1.4]
K16164,acylpyruvate hydrolase [EC:3.7.1.5]
K16165,fumarylpyruvate hydrolase [EC:3.7.1.20]
K16167,alkylresorcinol/alkylpyrone synthase
K16168,methyltransferase
K16171,fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]
K16173,glutaryl-CoA dehydrogenase (non-decarboxylating) [EC:1.3.99.32]
K16185,Ras-related GTP-binding protein A/B
K16190,glucuronokinase [EC:2.7.1.43]
K16203,D-amino peptidase [EC:3.4.11.-]
K16211,maltose/moltooligosaccharide transporter
K16213,cellobiose epimerase [EC:5.1.3.11]
K16214,UDP-N-acetylglucosamine kinase [EC:2.7.1.176]
K16216,benzil reductase ((S)-benzoin forming) [EC:1.1.1.320]
K16233,alpha-pyrone synthase
K16234,histidine transporter
K16237,aromatic amino acid permease
K16238,ethanolamine permease
K16239,4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.61]
K16242,phenol/toluene 2-monooxygenase (NADH) P3/A3 [EC:1.14.13.244 1.14.13.243]
K16243,phenol/toluene 2-monooxygenase (NADH) P1/A1 [EC:1.14.13.244 1.14.13.243]
K16244,phenol/toluene 2-monooxygenase (NADH) P2/A2 [EC:1.14.13.244 1.14.13.243]
K16245,phenol/toluene 2-monooxygenase (NADH) P4/A4 [EC:1.14.13.244 1.14.13.243]
K16246,phenol/toluene 2-monooxygenase (NADH) P5/A5 [EC:1.14.13.244 1.14.13.243]
K16247,"LuxR family transcriptional regulator, glucitol operon activator"
K16249,phenol/toluene 2-monooxygenase (NADH) P0/A0
K16254,mxaJ protein
K16255,cytochrome c-L
K16256,mxaA protein
K16257,mxaC protein
K16258,mxaK protein
K16259,mxaL protein
K16260,mxaD protein
K16263,amino acid efflux transporter
K16264,cobalt-zinc-cadmium efflux system protein
K16267,zinc and cadmium transporter
K16291,"L,D-transpeptidase ErfK/SrfK"
K16293,polysulfide reductase chain B
K16294,polysulfide reductase chain C
K16301,deferrochelatase/peroxidase EfeB [EC:1.11.1.-]
K16302,metal transporter CNNM
K16303,"p-cumate 2,3-dioxygenase subunit beta [EC:1.14.12.25]"
K16304,"p-cumate 2,3-dioxygenase ferredoxin component"
K16306,"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"
K16317,tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257]
K16318,tRNA (guanine6-N2)-methyltransferase [EC:2.1.1.256]
K16319,"anthranilate 1,2-dioxygenase large subunit [EC:1.14.12.1]"
K16320,"anthranilate 1,2-dioxygenase small subunit [EC:1.14.12.1]"
K16322,low-affinity inorganic phosphate transporter
K16328,pseudouridine kinase [EC:2.7.1.83]
K16329,pseudouridylate synthase [EC:4.2.1.70]
K16344,ragulator complex protein LAMTOR5
K16345,xanthine permease XanP
K16347,entericidin A
K16348,entericidin B
K16363,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]
K16368,diacylglycerol kinase (CTP) [EC:2.7.1.174]
K16370,6-phosphofructokinase 2 [EC:2.7.1.11]
K16371,"D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ"
K16423,"(S)-3,5-dihydroxyphenylglycine transaminase [EC:2.6.1.103]"
K16424,"3,5-dihydroxyphenylacetyl-CoA synthase [EC:2.3.1.246]"
K16435,"dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase [EC:4.2.1.159]"
K16436,"dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose/dTDP-2,6-dideoxy-D-kanosamine transaminase [EC:2.6.1.- 2.6.1.106]"
K16465,centrin-1
K16489,protein SFI1
K16509,regulatory protein spx
K16514,4-oxalomesaconate tautomerase [EC:5.3.2.8]
K16515,4-oxalomesaconate hydratase [EC:4.2.1.83]
K16516,"LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway"
K16554,polysaccharide biosynthesis transport protein
K16556,succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]
K16557,succinoglycan biosynthesis protein ExoA [EC:2.4.-.-]
K16558,succinoglycan biosynthesis protein ExoL [EC:2.-.-.-]
K16559,"endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]"
K16560,succinoglycan biosynthesis protein ExoH
K16563,succinoglycan biosynthesis protein ExoV
K16564,succinoglycan biosynthesis protein ExoU [EC:2.4.-.-]
K16566,exopolysaccharide production protein ExoY
K16567,exopolysaccharide production protein ExoQ
K16568,exopolysaccharide production protein ExoZ
K16638,exoenzyme U
K16639,endoribonuclease LACTB2 [EC:3.1.27.-]
K16645,heparin binding hemagglutinin HbhA
K16647,arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.47]
K16648,arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.-]
K16649,"rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]"
K16650,"galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]"
K16652,decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase [EC:1.1.1.333]
K16653,decaprenylphospho-beta-D-ribofuranose 2-oxidase [EC:1.1.98.3]
K16692,tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]
K16694,teichuronic acid exporter
K16697,teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-]
K16698,teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]
K16699,teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]
K16703,colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]
K16704,"dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase [EC:2.3.1.210]"
K16705,teichuronic acid biosynthesis protein TuaE
K16710,colanic acid/amylovoran biosynthesis protein
K16726,ankyrin repeat domain-containing protein 17
K16743,abnormal spindle-like microcephaly-associated protein
K16780,sjoegren syndrome nuclear autoantigen 1
K16783,biotin transport system permease protein
K16784,biotin transport system ATP-binding protein [EC:7.6.2.-]
K16785,energy-coupling factor transport system permease protein
K16789,thiamine transporter
K16795,platelet-activating factor acetylhydrolase IB subunit beta/gamma [EC:3.1.1.47]
K16833,protein phosphatase inhibitor 2
K16839,FAD-dependent urate hydroxylase [EC:1.14.13.113]
K16840,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
K16841,allantoin racemase [EC:5.1.99.3]
K16842,allantoinase [EC:3.5.2.5]
K16843,(S)-sulfolactate dehydrogenase [EC:1.1.1.310]
K16844,(2R)-3-sulfolactate dehydrogenase (NADP+) [EC:1.1.1.338]
K16845,(2R)-sulfolactate sulfo-lyase subunit alpha [EC:4.4.1.24]
K16846,(2R)-sulfolactate sulfo-lyase subunit beta [EC:4.4.1.24]
K16849,altronate dehydratase small subunit [EC:4.2.1.7]
K16850,altronate dehydratase large subunit [EC:4.2.1.7]
K16862,mitochondrial cardiolipin hydrolase [EC:3.1.4.-]
K16868,tellurite methyltransferase [EC:2.1.1.265]
K16869,octanoyl-[GcvH]:protein N-octanoyltransferase [EC:2.3.1.204]
K16870,N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]
K16871,4-aminobutyrate---pyruvate transaminase [EC:2.6.1.96]
K16872,beta-ketodecanoyl-[acyl-carrier-protein] synthase [EC:2.3.1.207]
K16873,5-(hydroxymethyl)furfural/furfural oxidase [EC:1.1.3.47 1.1.3.-]
K16874,"2,5-furandicarboxylate decarboxylase 1"
K16876,2-furoate---CoA ligase [EC:6.2.1.31]
K16877,2-furoyl-CoA dehydrogenase large subunit [EC:1.3.99.8]
K16878,2-furoyl-CoA dehydrogenase FAD binding subunit [EC:1.3.99.8]
K16879,2-furoyl-CoA dehydrogenase 2Fe-2S iron sulfur subunit [EC:1.3.99.8]
K16880,2-oxoglutaroyl-CoA hydrolase
K16885,"quinone-modifying oxidoreductase, subunit QmoA"
K16886,"quinone-modifying oxidoreductase, subunit QmoB"
K16887,"quinone-modifying oxidoreductase, subunit QmoC"
K16889,cation channel sperm-associated protein 1
K16898,ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]
K16899,ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]
K16904,dCTP diphosphatase [EC:3.6.1.12]
K16905,fluoroquinolone transport system permease protein
K16906,fluoroquinolone transport system permease protein
K16907,fluoroquinolone transport system ATP-binding protein [EC:7.6.2.-]
K16915,nickel transport protein
K16922,putative peptide zinc metalloprotease protein
K16923,energy-coupling factor transport system substrate-specific component
K16926,energy-coupling factor transport system substrate-specific component
K16927,energy-coupling factor transport system substrate-specific component
K16937,thiosulfate dehydrogenase (quinone) large subunit [EC:1.8.5.2]
K16953,dimethylpropiothetin dethiomethylase [EC:4.4.1.3]
K16968,methanesulfonate monooxygenase subunit alpha [EC:1.14.13.111]
K16969,methanesulfonate monooxygenase subunit beta [EC:1.14.13.111]
K17064,D-2-hydroxyacid dehydrogenase (NADP+) [EC:1.1.1.272]
K17067,formaldehyde dismutase / methanol dehydrogenase [EC:1.2.98.1 1.1.99.37]
K17069,O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]
K17080,prohibitin 1
K17086,transmembrane 9 superfamily member 2/4
K17087,transmembrane 9 superfamily member 3
K17103,CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
K17104,phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41]
K17105,geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]
K17108,non-lysosomal glucosylceramidase [EC:3.2.1.45]
K17197,NF-kappa-B inhibitor-interacting Ras-like protein
K17202,erythritol transport system substrate-binding protein
K17203,erythritol transport system permease protein
K17204,erythritol transport system ATP-binding protein
K17209,inositol transport system permease protein
K17213,inositol transport system substrate-binding protein
K17214,inositol transport system permease protein
K17218,sulfide:quinone oxidoreductase [EC:1.8.5.4]
K17222,L-cysteine S-thiosulfotransferase [EC:2.8.5.2]
K17223,L-cysteine S-thiosulfotransferase [EC:2.8.5.2]
K17224,S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20]
K17225,sulfane dehydrogenase subunit SoxC
K17226,sulfur-oxidizing protein SoxY
K17227,sulfur-oxidizing protein SoxZ
K17228,dimethylsulfone monooxygenase [EC:1.14.14.35]
K17229,sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3]
K17230,cytochrome subunit of sulfide dehydrogenase
K17231,iodotyrosine deiodinase [EC:1.21.1.1]
K17234,arabinosaccharide transport system substrate-binding protein
K17237,inositol-phosphate transport system substrate-binding protein
K17238,inositol-phosphate transport system permease protein
K17239,inositol-phosphate transport system permease protein
K17241,"alpha-1,4-digalacturonate transport system substrate-binding protein"
K17242,"alpha-1,4-digalacturonate transport system permease protein"
K17243,"alpha-1,4-digalacturonate transport system permease protein"
K17244,putative chitobiose transport system substrate-binding protein
K17245,putative chitobiose transport system permease protein
K17246,putative chitobiose transport system permease protein
K17247,methionine sulfoxide reductase heme-binding subunit
K17249,"GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase [EC:2.4.1.292]"
K17251,undecaprenyl-diphosphooligosaccharide---protein glycotransferase [EC:2.4.99.19]
K17266,major vault protein
K17268,coatomer subunit epsilon
K17278,membrane-associated progesterone receptor component
K17285,methanethiol oxidase [EC:1.8.3.4]
K17290,oxidoreductase [EC:1.1.1.-]
K17292,tubulin-specific chaperone A
K17315,glucose/mannose transport system substrate-binding protein
K17316,glucose/mannose transport system permease protein
K17317,glucose/mannose transport system permease protein
K17318,putative aldouronate transport system substrate-binding protein
K17319,putative aldouronate transport system permease protein
K17320,putative aldouronate transport system permease protein
K17321,glycerol transport system substrate-binding protein
K17322,glycerol transport system permease protein
K17323,glycerol transport system permease protein
K17324,glycerol transport system ATP-binding protein
K17325,glycerol transport system ATP-binding protein
K17361,acyl-coenzyme A thioesterase 9 [EC:3.1.2.-]
K17362,acyl-coenzyme A thioesterase 13 [EC:3.1.2.-]
K17382,"serine beta-lactamase-like protein LACTB, mitochondrial"
K17430,large subunit ribosomal protein L49
K17462,putative AdoMet-dependent methyltransferase [EC:2.1.1.-]
K17468,D-glucosaminate-6-phosphate ammonia-lyase [EC:4.3.1.29]
K17472,"Rrf2 family transcriptional regulator, cysteine metabolism repressor"
K17486,dimethylsulfoniopropionate demethylase [EC:2.1.1.269]
K17497,phosphomannomutase [EC:5.4.2.8]
K17508,protein phosphatase PTC7 [EC:3.1.3.16]
K17509,pyruvate dehydrogenase phosphatase regulatory subunit
K17525,chitinase domain-containing protein 1
K17550,protein phosphatase 1 regulatory subunit 7
K17583,nucleolar MIF4G domain-containing protein 1
K17592,sacsin
K17600,vacuolar protein sorting-associated protein 54
K17609,nucleoredoxin [EC:1.8.1.8]
K17616,CTD small phosphatase-like protein 2 [EC:3.1.3.-]
K17619,magnesium-dependent phosphatase 1 [EC:3.1.3.48 3.1.3.-]
K17623,pseudouridine 5--phosphatase [EC:3.1.3.96]
K17624,endo-alpha-N-acetylgalactosaminidase [EC:3.2.1.97]
K17656,mitochondrial splicing suppressor protein 51
K17662,cytochrome b pre-mRNA-processing protein 3
K17675,ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]
K17677,ATP-dependent helicase IRC3 [EC:3.6.4.-]
K17680,twinkle protein [EC:3.6.4.12]
K17686,P-type Cu+ transporter [EC:7.2.2.8]
K17710,pentatricopeptide repeat domain-containing protein 1
K17713,outer membrane protein assembly factor BamB
K17722,dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]
K17723,dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]
K17724,aconitate decarboxylase [EC:4.1.1.6]
K17725,sulfur dioxygenase [EC:1.13.11.18]
K17733,peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]
K17734,serine protease AprX [EC:3.4.21.-]
K17735,carnitine 3-dehydrogenase [EC:1.1.1.108]
K17736,"AraC family transcriptional regulator, carnitine catabolism transcriptional activator"
K17737,"LysR family transcriptional regulator, carnitine catabolism transcriptional activator"
K17742,sorbose reductase [EC:1.1.1.289]
K17743,D-xylose reductase [EC:1.1.1.307]
K17744,L-galactose dehydrogenase [EC:1.1.1.316]
K17752,serine/threonine-protein kinase RsbT [EC:2.7.11.1]
K17757,ATP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.93]
K17758,ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]
K17759,NAD(P)H-hydrate epimerase [EC:5.1.99.6]
K17760,quinohemoprotein ethanol dehydrogenase [EC:1.1.9.1]
K17763,rsbT co-antagonist protein RsbR
K17776,metaxin
K17778,mitochondrial import inner membrane translocase subunit TIM10
K17783,mitochondrial FAD-linked sulfhydryl oxidase [EC:1.8.3.2]
K17784,MICOS complex subunit MIC10
K17790,mitochondrial import inner membrane translocase subunit TIM22
K17800,"LETM1 and EF-hand domain-containing protein 1, mitochondrial"
K17804,mitochondrial import inner membrane translocase subunit TIM44
K17808,mitochondrial protein import protein ZIM17
K17810,D-aspartate ligase [EC:6.3.1.12]
K17817,8-oxo-dGDP phosphatase [EC:3.6.1.58]
K17828,dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]
K17829,crotonyl-CoA reductase [EC:1.3.1.86]
K17830,digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]
K17836,beta-lactamase class A [EC:3.5.2.6]
K17837,metallo-beta-lactamase class B [EC:3.5.2.6]
K17838,beta-lactamase class D [EC:3.5.2.6]
K17839,polyamine oxidase [EC:1.5.3.17 1.5.3.-]
K17865,3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]
K17879,peroxisomal coenzyme A diphosphatase NUDT7 [EC:3.6.1.-]
K17882,kanamycin nucleotidyltransferase [EC:2.7.7.-]
K17883,mycothione reductase [EC:1.8.1.15]
K17884,archaetidylinositol phosphate synthase [EC:2.7.8.39]
K17888,ubiquitin-like-conjugating enzyme ATG10
K17890,autophagy-related protein 16-1
K17892,ferredoxin-thioredoxin reductase catalytic chain [EC:1.8.7.2]
K17893,ubiquinol oxidase [EC:1.10.3.11]
K17900,lipase ATG15 [EC:3.1.1.3]
K17907,autophagy-related protein 9
K17910,aminoglycoside 2---phosphotransferase [EC:2.7.1.190]
K17938,peptide/bleomycin uptake transporter
K17943,pumilio RNA-binding family
K17947,dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]
K17948,N-acetylneuraminate epimerase [EC:5.1.3.24]
K17950,L-cysteate sulfo-lyase [EC:4.4.1.25]
K17968,TRIAP1/MDM35 family protein
K17987,next to BRCA1 gene 1 protein
K17989,L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]
K17993,sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5]
K17994,sulfhydrogenase subunit delta [EC:1.12.1.3 1.12.1.5]
K17996,sulfhydrogenase subunit beta (sulfur reductase) [EC:1.12.98.4]
K18009,"meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"
K18013,3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]
K18014,3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14]
K18028,"2,5-dihydroxypyridine 5,6-dioxygenase [EC:1.13.11.9]"
K18029,nicotinate dehydrogenase subunit A [EC:1.17.2.1]
K18030,nicotinate dehydrogenase subunit B [EC:1.17.2.1]
K18058,L-asparagine oxygenase [EC:1.14.11.39]
K18067,"phthalate 4,5-cis-dihydrodiol dehydrogenase [EC:1.3.1.64]"
K18068,"phthalate 4,5-dioxygenase [EC:1.14.12.7]"
K18078,protein tyrosine phosphatase domain-containing protein 1 [EC:3.1.3.-]
K18093,imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]
K18098,"LuxR family transcriptional regulator, quorum-sensing system regulator BjaR1"
K18101,rhamnosyltransferase subunit B [EC:2.4.1.-]
K18106,D-galacturonate reductase [EC:1.1.1.-]
K18118,succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
K18119,succinate-semialdehyde dehydrogenase [EC:1.2.1.76]
K18122,4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]
K18123,4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]
K18136,"TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor"
K18138,multidrug efflux pump
K18139,"outer membrane protein, multidrug efflux system"
K18143,"two-component system, OmpR family, sensor histidine kinase AdeS [EC:2.7.13.3]"
K18144,"two-component system, OmpR family, response regulator AdeR"
K18148,release factor H-coupled RctB family protein
K18150,antirepressor for MexR
K18156,mitochondrial inner membrane protease ATP23 [EC:3.4.24.-]
K18159,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1
K18162,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]
K18163,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 6
K18164,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7
K18166,FAD-dependent oxidoreductase domain-containing protein 1
K18168,succinate dehydrogenase assembly factor 2
K18173,cytochrome c oxidase assembly factor 1
K18182,cytochrome c oxidase assembly protein subunit 16
K18183,cytochrome c oxidase assembly protein subunit 19
K18189,translational activator of cytochrome c oxidase 1
K18195,rhamnogalacturonan endolyase [EC:4.2.2.23]
K18197,rhamnogalacturonan endolyase [EC:4.2.2.23]
K18199,cyclohexyl-isocyanide hydratase [EC:4.2.1.103]
K18201,hydroxylysine kinase [EC:2.7.1.81]
K18208,renalase [EC:1.6.3.5]
K18218,tetracycline resistance efflux pump
K18220,ribosomal protection tetracycline resistance protein
K18223,propane 2-monooxygenase large subunit [EC:1.14.13.227]
K18224,propane 2-monooxygenase small subunit [EC:1.14.13.227]
K18225,propane monooxygenase reductase component [EC:1.18.1.-]
K18226,propane monooxygenase coupling protein
K18230,macrolide transport system ATP-binding/permease protein
K18234,virginiamycin A acetyltransferase [EC:2.3.1.-]
K18235,virginiamycin B lyase [EC:4.2.99.-]
K18240,chorismate lyase / 3-hydroxybenzoate synthase [EC:4.1.3.40 4.1.3.45]
K18242,salicylate 5-hydroxylase large subunit [EC:1.14.13.172]
K18243,salicylate 5-hydroxylase small subunit [EC:1.14.13.172]
K18277,trimethylamine monooxygenase [EC:1.14.13.148]
K18284,adenosylhomocysteine/aminodeoxyfutalosine nucleosidase [EC:3.2.2.9 3.2.2.30]
K18285,aminodeoxyfutalosine synthase [EC:2.5.1.120]
K18288,itaconate CoA-transferase [EC:2.8.3.-]
K18289,itaconate CoA-transferase [EC:2.8.3.- 2.8.3.22]
K18290,itaconyl-CoA hydratase [EC:4.2.1.56]
K18292,(S)-citramalyl-CoA lyase [EC:4.1.3.25]
K18294,"TetR/AcrR family transcriptional regulator, mexCD-oprJ operon repressor"
K18297,"LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator"
K18298,"membrane fusion protein, multidrug efflux system"
K18299,multidrug efflux pump
K18300,"outer membrane protein, multidrug efflux system"
K18301,"TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor"
K18302,"membrane fusion protein, multidrug efflux system"
K18305,transmembrane protein
K18320,"transposase, IS6 family"
K18333,L-fucose dehydrogenase
K18334,L-fuconate dehydratase [EC:4.2.1.68]
K18335,2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-]
K18336,"2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26]"
K18337,L-rhamnose 1-dehydrogenase [EC:1.1.1.378 1.1.1.377 1.1.1.173]
K18342,OTU domain-containing protein 6 [EC:3.4.19.12]
K18346,vancomycin resistance protein VanW
K18353,vancomycin resistance protein VanJ
K18362,phenylacetyl-CoA:acceptor oxidoreductase 27-kDa subunit
K18363,phenylacetyl-CoA:acceptor oxidoreductase 26-kDa subunit
K18364,2-oxopent-4-enoate/cis-2-oxohex-4-enoate hydratase [EC:4.2.1.80 4.2.1.132]
K18365,4-hydroxy-2-oxovalerate/4-hydroxy-2-oxohexanoate aldolase [EC:4.1.3.39 4.1.3.43]
K18366,acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]
K18369,alcohol dehydrogenase [EC:1.1.1.-]
K18371,acetone monooxygenase (methyl acetate-forming) [EC:1.14.13.226]
K18372,methyl acetate hydrolase [EC:3.1.1.114]
K18382,NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-]
K18383,feruloyl-CoA hydratase/lyase [EC:4.1.2.61]
K18384,trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]
K18399,valacyclovir hydrolase [EC:3.1.-.-]
K18405,tudor domain-containing protein 1/4/6/7
K18411,protein maelstrom
K18425,3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]
K18426,ethylmalonyl-CoA/methylmalonyl-CoA decarboxylase [EC:4.1.1.94 4.1.1.-]
K18429,"GDP/UDP-N,N--diacetylbacillosamine 2-epimerase (hydrolysing) [EC:3.2.1.184]"
K18430,"N,N--diacetyllegionaminate synthase [EC:2.5.1.101]"
K18431,"CMP-N,N--diacetyllegionaminic acid synthase [EC:2.7.7.82]"
K18434,type IV secretion system T-DNA border endonuclease VirD2
K18446,triphosphatase [EC:3.6.1.25]
K18453,ADP-ribose/FAD diphosphatase [EC:3.6.1.13 3.6.1.18]
K18455,mycothiol S-conjugate amidase [EC:3.5.1.115]
K18456,8-oxoguanine deaminase [EC:3.5.4.32]
K18459,guanidinopropionase [EC:3.5.3.17]
K18460,exportin-7
K18461,WAS protein family homolog 1
K18465,WASH complex subunit 7
K18471,methylglyoxal reductase [EC:1.1.1.-]
K18472,acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
K18473,acetoacetyl-[acyl-carrier protein] synthase [EC:2.3.1.180]
K18475,lysine-N-methylase [EC:2.1.1.-]
K18476,"TetR/AcrR family transcriptional regulator, tetracycline repressor protein"
K18478,sulfofructose kinase [EC:2.7.1.184]
K18479,sulfoquinovose isomerase [EC:5.3.1.31]
K18480,cholesterol transport system auxiliary component
K18481,Mce-associated membrane protein
K18482,4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
K18532,adenylate kinase [EC:2.7.4.3]
K18534,MPBQ/MSBQ methyltransferase [EC:2.1.1.295]
K18554,chloramphenicol 3-O phosphotransferase [EC:2.7.1.-]
K18555,fluoroquinolone resistance protein
K18578,"xyloglucan-specific exo-beta-1,4-glucanase [EC:3.2.1.155]"
K18581,unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]
K18586,ubiquinone biosynthesis protein COQ4
K18587,ubiquinone biosynthesis protein COQ9
K18588,coenzyme Q-binding protein COQ10
K18593,4-hydroxybutyrate---CoA ligase (ADP-forming) [EC:6.2.1.56]
K18594,3-hydroxypropionyl-CoA synthetase (ADP-forming) [EC:6.2.1.-]
K18602,malonic semialdehyde reductase [EC:1.1.1.-]
K18603,acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]
K18604,acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15]
K18605,biotin carboxyl carrier protein
K18608,pyridoxamine---pyruvate transaminase [EC:2.6.1.30]
K18609,pyridoxal 4-dehydrogenase [EC:1.1.1.107]
K18611,4-pyridoxate dehydrogenase [EC:1.1.99.42]
K18622,adducin
K18640,plasmid segregation protein ParM
K18649,inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]
K18657,cell division protein ZapC
K18660,malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
K18661,malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
K18672,diadenylate cyclase [EC:2.7.7.85]
K18676,glucosamine kinase [EC:2.7.1.8]
K18677,galacturonokinase [EC:2.7.1.44]
K18678,phytol kinase [EC:2.7.1.182]
K18682,ribonucrease Y [EC:3.1.-.-]
K18687,HIP---CoA ligase [EC:6.2.1.41]
K18688,3-oxocholest-4-en-26-oate---CoA ligase [EC:6.2.1.42]
K18691,membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]
K18693,diacylglycerol diphosphate phosphatase / phosphatidate phosphatase [EC:3.1.3.81 3.1.3.4]
K18697,phosphatidylglycerophosphatase C [EC:3.1.3.27]
K18700,fluoroacetyl-CoA thioesterase [EC:3.1.2.29]
K18702,CoA:oxalate CoA-transferase [EC:2.8.3.19]
K18703,succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]
K18707,threonylcarbamoyladenosine tRNA methylthiotransferase MtaB [EC:2.8.4.5]
K18729,protein angel
K18732,SAP domain-containing ribonucleoprotein
K18734,protein SMG8
K18749,protein LSM14
K18764,nocturnin [EC:3.1.3.108]
K18765,RNase E specificity factor CsrD
K18778,cell division protein ZapD
K18779,7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]
